drug_name	drug_id	structure_url	CAS_number	mechanism_of_action	target	actions
Nelfinavir	DB00220	https://www.drugbank.ca/structures/small_molecule_drugs/DB00220.sdf	159989-64-7	Nelfinavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.	HIV-1 protease	inhibitor
Indinavir	DB00224	https://www.drugbank.ca/structures/small_molecule_drugs/DB00224.sdf	150378-17-9	Indinavir inhibits the HIV viral protease enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.	Human immunodeficiency virus type 1 protease	inhibitor
Nevirapine	DB00238	https://www.drugbank.ca/structures/small_molecule_drugs/DB00238.sdf	129618-40-2	Nevirapine binds directly to reverse transcriptase (RT) and blocks the RNA-dependent and DNA-dependent DNA polymerase activities by causing a disruption of the enzyme&#39;s catalytic site. The activity of nevirapine does not compete with template or nucleoside triphosphates.	Reverse transcriptase/RNaseH	inhibitor
Idoxuridine	DB00249	https://www.drugbank.ca/structures/small_molecule_drugs/DB00249.sdf	54-42-2	Idoxuridine acts as an antiviral agent by inhibiting viral replication by substituting itself for thymidine in viral DNA. This in turn inhibits thymidylate phosphorylase and viral DNA polymerases from properly functioning. The effect of Idoxuridine results in the inability of the virus to reproduce or to infect/destroy tissue.	DNA	other
Idoxuridine	DB00249	https://www.drugbank.ca/structures/small_molecule_drugs/DB00249.sdf	54-42-2	Idoxuridine acts as an antiviral agent by inhibiting viral replication by substituting itself for thymidine in viral DNA. This in turn inhibits thymidylate phosphorylase and viral DNA polymerases from properly functioning. The effect of Idoxuridine results in the inability of the virus to reproduce or to infect/destroy tissue.	Thymidine kinase	unknown
Penciclovir	DB00299	https://www.drugbank.ca/structures/small_molecule_drugs/DB00299.sdf	39809-25-1	Penciclovir has <i>in vitro</i> activity against herpes simplex virus types 1 (HSV-1) and 2 (HSV-2). In cells infected with HSV-1 or HSV-2, viral thymidine kinase phosphorylates penciclovir to a monophosphate form. The monophosphate form of the drug is then converted to penciclovir triphosphate by cellular kinases. The intracellular triphosphate of penciclovir is retained <i>in vitro</i> inside HSV-infected cells for 10-20 hours, compared with 0.7-1 hour for acyclovir. <i>in vitro</i> studies show that penciclovir triphosphate selectively inhibits viral DNA polymerase by competing with deoxyguanosine triphosphate. Inhibition of DNA synthesis of virus-infected cells inhibits viral replication. In cells not infected with HSV, DNA synthesis is unaltered. Resistant mutants of HSV can occur from qualitative changes in viral thymidine kinase or DNA polymerase. The most commonly encountered acyclovir-resistant mutants that are deficient in viral thymidine kinase are also resistant to penciclovir.	DNA polymerase catalytic subunit	inhibitor
Penciclovir	DB00299	https://www.drugbank.ca/structures/small_molecule_drugs/DB00299.sdf	39809-25-1	Penciclovir has <i>in vitro</i> activity against herpes simplex virus types 1 (HSV-1) and 2 (HSV-2). In cells infected with HSV-1 or HSV-2, viral thymidine kinase phosphorylates penciclovir to a monophosphate form. The monophosphate form of the drug is then converted to penciclovir triphosphate by cellular kinases. The intracellular triphosphate of penciclovir is retained <i>in vitro</i> inside HSV-infected cells for 10-20 hours, compared with 0.7-1 hour for acyclovir. <i>in vitro</i> studies show that penciclovir triphosphate selectively inhibits viral DNA polymerase by competing with deoxyguanosine triphosphate. Inhibition of DNA synthesis of virus-infected cells inhibits viral replication. In cells not infected with HSV, DNA synthesis is unaltered. Resistant mutants of HSV can occur from qualitative changes in viral thymidine kinase or DNA polymerase. The most commonly encountered acyclovir-resistant mutants that are deficient in viral thymidine kinase are also resistant to penciclovir.	Thymidine kinase	inducer
Tenofovir disoproxil	DB00300	https://www.drugbank.ca/structures/small_molecule_drugs/DB00300.sdf	201341-05-1	Tenofovir inhibits the activity of HIV reverse transcriptase by competing with the natural substrate deoxyadenosine 5&#39;-triphosphate and, after incorporation into DNA, by DNA chain termination. Specifically, the drugs are analogues of the naturally occurring deoxynucleotides needed to synthesize the viral DNA and they compete with the natural deoxynucleotides for incorporation into the growing viral DNA chain. However, unlike the natural deoxynucleotides substrates, NRTIs and NTRTIs (nucleoside/tide reverse transcriptase inhibitors) lack a 3&#39;-hydroxyl group on the deoxyribose moiety. As a result, following incorporation of an NRTI or an NtRTI, the next incoming deoxynucleotide cannot form the next 5&#39;-3&#39; phosphodiester bond needed to extend the DNA chain. Thus, when an NRTI or NtRTI is incorporated, viral DNA synthesis is halted, a process known as chain termination. All NRTIs and NtRTIs are classified as competitive substrate inhibitors.	Reverse transcriptase/RNaseH	inhibitor
Cidofovir	DB00369	https://www.drugbank.ca/structures/small_molecule_drugs/DB00369.sdf	113852-37-2	Cidofovir acts through the selective inhibition of viral DNA polymerase.Biochemical data support selective inhibition of CMV DNA polymerase by cidofovir diphosphate, the active intracellular metabolite of cidofovir. Cidofovir diphosphate inhibits herpesvirus polymerases at concentrations that are 8- to 600-fold lower than those needed to inhibit human cellular DNA polymerase alpha, beta, and gamma(1,2,3). Incorporation of cidofovir into the growing viral DNA chain results in reductions in the rate of viral DNA synthesis.	DNA polymerase catalytic subunit	inhibitor
Famciclovir	DB00426	https://www.drugbank.ca/structures/small_molecule_drugs/DB00426.sdf	104227-87-4	Famciclovir undergoes rapid biotransformation to the active antiviral compound penciclovir, which has inhibitory activity against herpes simplex virus types 1 (HSV-1) and 2 (HSV-2) and varicella zoster virus (VZV). In cells infected with HSV-1, HSV-2 or VZV, viral thymidine kinase phosphorylates penciclovir to a monophosphate form that, in turn, is converted to penciclovir triphosphate by cellular kinases. In vitro studies demonstrate that penciclovir triphosphate inhibits HSV-2 DNA polymerase competitively with deoxyguanosine triphosphate. Consequently, herpes viral DNA synthesis and, therefore, replication are selectively inhibited.	DNA polymerase catalytic subunit	inhibitor
Famciclovir	DB00426	https://www.drugbank.ca/structures/small_molecule_drugs/DB00426.sdf	104227-87-4	Famciclovir undergoes rapid biotransformation to the active antiviral compound penciclovir, which has inhibitory activity against herpes simplex virus types 1 (HSV-1) and 2 (HSV-2) and varicella zoster virus (VZV). In cells infected with HSV-1, HSV-2 or VZV, viral thymidine kinase phosphorylates penciclovir to a monophosphate form that, in turn, is converted to penciclovir triphosphate by cellular kinases. In vitro studies demonstrate that penciclovir triphosphate inhibits HSV-2 DNA polymerase competitively with deoxyguanosine triphosphate. Consequently, herpes viral DNA synthesis and, therefore, replication are selectively inhibited.	DNA polymerase catalytic subunit	inhibitor
Trifluridine	DB00432	https://www.drugbank.ca/structures/small_molecule_drugs/DB00432.sdf	70-00-8	The mechanism of action of trifluridine has not been fully determined, but appears to involve the inhibition of viral replication. Trifluridine does this by incorporating into viral DNA during replication, which leads to the formation of defective proteins and an increased mutation rate. This drug also reversibly inhibits thymidylate synthetase, an enzyme that is necessary for DNA synthesis.	Thymidylate synthase	inhibitor
Trifluridine	DB00432	https://www.drugbank.ca/structures/small_molecule_drugs/DB00432.sdf	70-00-8	The mechanism of action of trifluridine has not been fully determined, but appears to involve the inhibition of viral replication. Trifluridine does this by incorporating into viral DNA during replication, which leads to the formation of defective proteins and an increased mutation rate. This drug also reversibly inhibits thymidylate synthetase, an enzyme that is necessary for DNA synthesis.	DNA	other/unknown
Entecavir	DB00442	https://www.drugbank.ca/structures/small_molecule_drugs/DB00442.sdf	142217-69-4	By competing with the natural substrate deoxyguanosine triphosphate, entecavir functionally inhibits all three activities of the HBV polymerase (reverse transcriptase, rt): (1) base priming, (2) reverse transcription of the negative strand from the pregenomic messenger RNA, and (3) synthesis of the positive strand of HBV DNA. Upon activation by kinases, the drug can be incorporated into the DNA which has the ultimate effect of inhibiting the HBV polymerase activity.	DNA	other
Rimantadine	DB00478	https://www.drugbank.ca/structures/small_molecule_drugs/DB00478.sdf	13392-28-4	The mechanism of action of rimantadine is not fully understood. Rimantadine appears to exert its inhibitory effect early in the viral replicative cycle, possibly inhibiting the uncoating of the virus. Genetic studies suggest that a virus protein specified by the virion M2 gene plays an important role in the susceptibility of influenza A virus to inhibition by rimantadine.	Matrix protein 2	other/unknown
Zidovudine	DB00495	https://www.drugbank.ca/structures/small_molecule_drugs/DB00495.sdf	30516-87-1	Zidovudine, a structural analog of thymidine, is a prodrug that must be phosphorylated to its active 5′-triphosphate metabolite, zidovudine triphosphate (ZDV-TP). It inhibits the activity of HIV-1 reverse transcriptase (RT) via DNA chain termination after incorporation of the nucleotide analogue. It competes with the natural substrate dGTP and incorporates itself into viral DNA. It is also a weak inhibitor of cellular DNA polymerase α and γ. 	Reverse transcriptase/RNaseH	inhibitor
Zidovudine	DB00495	https://www.drugbank.ca/structures/small_molecule_drugs/DB00495.sdf	30516-87-1	Zidovudine, a structural analog of thymidine, is a prodrug that must be phosphorylated to its active 5′-triphosphate metabolite, zidovudine triphosphate (ZDV-TP). It inhibits the activity of HIV-1 reverse transcriptase (RT) via DNA chain termination after incorporation of the nucleotide analogue. It competes with the natural substrate dGTP and incorporates itself into viral DNA. It is also a weak inhibitor of cellular DNA polymerase α and γ. 	Telomerase reverse transcriptase	inhibitor
Ritonavir	DB00503	https://www.drugbank.ca/structures/small_molecule_drugs/DB00503.sdf	155213-67-5	Ritonavic inhibits the HIV viral proteinase enzyme that normally cleaves the structural and replicative proteins that arise from major HIV genes, such as <em>gag</em> and <em>pol</em>. <em>Gag</em> encodes proteins involved in the core and the nucleocapsid, while <em>pol</em> encodes the the HIV reverse transcriptase, ribonuclease H, integrase, and protease <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>. The <em>pol</em>-encoded proteins are initially translated in the form of a larger precursoe polypeptide, <em>gag-pol</em>, and needs to be cleaved by HIV protease to form other complement proteins <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>. Ritonavir prevents the cleavage of the <em>gag-pol</em> polyprotein, which results in noninfectious, immature viral particles. Ritonavir is a potent inhibitor of cytochrome P450 CYP3A4 isoenzyme present both in the intestinal tract and liver <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>. It is a type II ligand that perfectly fits into the CYP3A4 active site cavity and irreversibly binds to the heme iron via the thiazole nitrogen, which decreases the redox potential of the protein and precludes its reduction with the redox partner, cytochrome P450 reductase <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Sevrioukova IF, Poulos TL: Structure and mechanism of the complex between cytochrome P4503A4 and ritonavir. Proc Natl Acad Sci U S A. 2010 Oct 26;107(43):18422-7. doi: 10.1073/pnas.1010693107. Epub 2010 Oct 11. (PubMed ID 20937904)" href="#reference-A19648">3</a>]</sup>. Ritonavir may also play a role in limiting cellular transport and efflux of other protease inhibitors via the P-glycoprotein and MRP efflux channels <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>.	Human immunodeficiency virus type 1 protease	inhibitor
Ritonavir	DB00503	https://www.drugbank.ca/structures/small_molecule_drugs/DB00503.sdf	155213-67-5	Ritonavic inhibits the HIV viral proteinase enzyme that normally cleaves the structural and replicative proteins that arise from major HIV genes, such as <em>gag</em> and <em>pol</em>. <em>Gag</em> encodes proteins involved in the core and the nucleocapsid, while <em>pol</em> encodes the the HIV reverse transcriptase, ribonuclease H, integrase, and protease <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>. The <em>pol</em>-encoded proteins are initially translated in the form of a larger precursoe polypeptide, <em>gag-pol</em>, and needs to be cleaved by HIV protease to form other complement proteins <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>. Ritonavir prevents the cleavage of the <em>gag-pol</em> polyprotein, which results in noninfectious, immature viral particles. Ritonavir is a potent inhibitor of cytochrome P450 CYP3A4 isoenzyme present both in the intestinal tract and liver <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>. It is a type II ligand that perfectly fits into the CYP3A4 active site cavity and irreversibly binds to the heme iron via the thiazole nitrogen, which decreases the redox potential of the protein and precludes its reduction with the redox partner, cytochrome P450 reductase <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Sevrioukova IF, Poulos TL: Structure and mechanism of the complex between cytochrome P4503A4 and ritonavir. Proc Natl Acad Sci U S A. 2010 Oct 26;107(43):18422-7. doi: 10.1073/pnas.1010693107. Epub 2010 Oct 11. (PubMed ID 20937904)" href="#reference-A19648">3</a>]</sup>. Ritonavir may also play a role in limiting cellular transport and efflux of other protease inhibitors via the P-glycoprotein and MRP efflux channels <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Hull MW, Montaner JS: Ritonavir-boosted protease inhibitors in HIV therapy. Ann Med. 2011 Aug;43(5):375-88. doi: 10.3109/07853890.2011.572905. Epub 2011 Apr  18. (PubMed ID 21501034)" href="#reference-A19647">1</a>]</sup>.	Nuclear receptor subfamily 1 group I member 2	activator
Foscarnet	DB00529	https://www.drugbank.ca/structures/small_molecule_drugs/DB00529.sdf	4428-95-9	Foscarnet exerts its antiviral activity by a selective inhibition at the pyrophosphate binding site on virus-specific DNA polymerases at concentrations that do not affect cellular DNA polymerases.	DNA polymerase catalytic subunit	inhibitor
Foscarnet	DB00529	https://www.drugbank.ca/structures/small_molecule_drugs/DB00529.sdf	4428-95-9	Foscarnet exerts its antiviral activity by a selective inhibition at the pyrophosphate binding site on virus-specific DNA polymerases at concentrations that do not affect cellular DNA polymerases.	DNA polymerase catalytic subunit	inhibitor
Zanamivir	DB00558	https://www.drugbank.ca/structures/small_molecule_drugs/DB00558.sdf	139110-80-8	The proposed mechanism of action of zanamivir is via inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release. By binding and inhibiting the neuraminidase protein, the drug renders the influenza virus unable to escape its host cell and infect others.	Neuraminidase	inhibitor
Zanamivir	DB00558	https://www.drugbank.ca/structures/small_molecule_drugs/DB00558.sdf	139110-80-8	The proposed mechanism of action of zanamivir is via inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release. By binding and inhibiting the neuraminidase protein, the drug renders the influenza virus unable to escape its host cell and infect others.	Neuraminidase	inhibitor
Zanamivir	DB00558	https://www.drugbank.ca/structures/small_molecule_drugs/DB00558.sdf	139110-80-8	The proposed mechanism of action of zanamivir is via inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release. By binding and inhibiting the neuraminidase protein, the drug renders the influenza virus unable to escape its host cell and infect others.	Sialidase-2	inhibitor
Valaciclovir	DB00577	https://www.drugbank.ca/structures/small_molecule_drugs/DB00577.sdf	124832-26-4	Valaciclovir is phosphorylated by viral thymidine kinase to acyclovir triphosphate (the active metabolite) which then inhibits herpes viral DNA replication by competitive inhibition of viral DNA polymerase, and by incorporation into and termination of the growing viral DNA chain. When used as a substrate for viral DNA polymerase, acyclovir triphosphate competitively inhibits dATP leading to the formation of &#39;faulty&#39; DNA. This is where acyclovir triphosphate is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand.	Thymidine kinase	inducer
Valaciclovir	DB00577	https://www.drugbank.ca/structures/small_molecule_drugs/DB00577.sdf	124832-26-4	Valaciclovir is phosphorylated by viral thymidine kinase to acyclovir triphosphate (the active metabolite) which then inhibits herpes viral DNA replication by competitive inhibition of viral DNA polymerase, and by incorporation into and termination of the growing viral DNA chain. When used as a substrate for viral DNA polymerase, acyclovir triphosphate competitively inhibits dATP leading to the formation of &#39;faulty&#39; DNA. This is where acyclovir triphosphate is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand.	DNA polymerase catalytic subunit	inhibitor
Efavirenz	DB00625	https://www.drugbank.ca/structures/small_molecule_drugs/DB00625.sdf	154598-52-4	Similar to zidovudine, efavirenz inhibits the activity of viral RNA-directed DNA polymerase (i.e., reverse transcriptase). Antiviral activity of efavirenz is dependent on intracellular conversion to the active triphosphorylated form. The rate of efavirenz phosphorylation varies, depending on cell type. It is believed that inhibition of reverse transcriptase interferes with the generation of DNA copies of viral RNA, which, in turn, are necessary for synthesis of new virions. Intracellular enzymes subsequently eliminate the HIV particle that previously had been uncoated, and left unprotected, during entry into the host cell. Thus, reverse transcriptase inhibitors are virustatic and do not eliminate HIV from the body. Even though human DNA polymerase is less susceptible to the pharmacologic effects of triphosphorylated efavirenz, this action may nevertheless account for some of the drug&#39;s toxicity.	Reverse transcriptase/RNaseH	inhibitor
Stavudine	DB00649	https://www.drugbank.ca/structures/small_molecule_drugs/DB00649.sdf	3056-17-5	Stavudine inhibits the activity of HIV-1 reverse transcriptase (RT) both by competing with the natural substrate dGTP and by its incorporation into viral DNA.	Reverse transcriptase/RNaseH	inhibitor
Amprenavir	DB00701	https://www.drugbank.ca/structures/small_molecule_drugs/DB00701.sdf	161814-49-9	Amprenavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.	Human immunodeficiency virus type 1 protease	inhibitor
Delavirdine	DB00705	https://www.drugbank.ca/structures/small_molecule_drugs/DB00705.sdf	136817-59-9	Delavirdine binds directly to viral reverse transcriptase (RT) and blocks the RNA-dependent and DNA-dependent DNA polymerase activities by disrupting the enzyme&#39;s catalytic site.	Reverse transcriptase/RNaseH	inhibitor
Lamivudine	DB00709	https://www.drugbank.ca/structures/small_molecule_drugs/DB00709.sdf	134678-17-4	Lamivudine is a synthetic nucleoside analogue and is phosphorylated intracellularly to its active 5&#39;-triphosphate metabolite, lamivudine triphosphate (L-TP). This nucleoside analogue is incorporated into viral DNA by HIV reverse transcriptase and HBV polymerase, resulting in DNA chain termination.	Reverse transcriptase/RNaseH	inhibitor
Lamivudine	DB00709	https://www.drugbank.ca/structures/small_molecule_drugs/DB00709.sdf	134678-17-4	Lamivudine is a synthetic nucleoside analogue and is phosphorylated intracellularly to its active 5&#39;-triphosphate metabolite, lamivudine triphosphate (L-TP). This nucleoside analogue is incorporated into viral DNA by HIV reverse transcriptase and HBV polymerase, resulting in DNA chain termination.	DNA	adduct
Lamivudine	DB00709	https://www.drugbank.ca/structures/small_molecule_drugs/DB00709.sdf	134678-17-4	Lamivudine is a synthetic nucleoside analogue and is phosphorylated intracellularly to its active 5&#39;-triphosphate metabolite, lamivudine triphosphate (L-TP). This nucleoside analogue is incorporated into viral DNA by HIV reverse transcriptase and HBV polymerase, resulting in DNA chain termination.	Protein P	inhibitor
Adefovir Dipivoxil	DB00718	https://www.drugbank.ca/structures/small_molecule_drugs/DB00718.sdf	142340-99-6	Adefovir dipivoxil is a prodrug of adefovir. Adefovir is an acyclic nucleotide analog of adenosine monophosphate which is phosphorylated to the active metabolite adefovir diphosphate by cellular kinases. Adefovir diphosphate inhibits HBV DNA polymerase (reverse transcriptase) by competing with the natural substrate deoxyadenosine triphosphate and by causing DNA chain termination after its incorporation into viral DNA. The inhibition constant (Ki) for adefovir diphosphate for HBV DNA polymerase was 0.1 &mu;M. Adefovir diphosphate is a weak inhibitor of human DNA polymerases &alpha; and &gamma; with Ki values of 1.18 &mu;M and 0.97&mu;M, respectively.	DNA polymerase/reverse transcriptase	other
Acyclovir	DB00787	https://www.drugbank.ca/structures/small_molecule_drugs/DB00787.sdf	59277-89-3	Viral (HSV-1, HSV-2 and VZV) thymidine kinase converts aciclovir to the aciclovir monophosphate, which is then converted to the diphosphate by cellular guanylate kinase, and finally to the triphosphate by phosphoglycerate kinase, phosphoenolpyruvate carboxykinase, and pyruvate kinase. Aciclovir triphosphate competitively inhibits viral DNA polymerase and competes with the natural deoxyguanosine triphosphate, for incorporation into viral DNA. Once incorporated, aciclovir triphosphate inhibits DNA synthesis by acting as a chain terminator. One may consider aciclovir to be a prodrug as it is metabolized to more active compounds. Aciclovir is selective and low in cytotoxicity as the cellular thymidine kinase of normal, uninfected cells does not use aciclovir effectively as a substrate. 	DNA polymerase catalytic subunit	inhibitor
Acyclovir	DB00787	https://www.drugbank.ca/structures/small_molecule_drugs/DB00787.sdf	59277-89-3	Viral (HSV-1, HSV-2 and VZV) thymidine kinase converts aciclovir to the aciclovir monophosphate, which is then converted to the diphosphate by cellular guanylate kinase, and finally to the triphosphate by phosphoglycerate kinase, phosphoenolpyruvate carboxykinase, and pyruvate kinase. Aciclovir triphosphate competitively inhibits viral DNA polymerase and competes with the natural deoxyguanosine triphosphate, for incorporation into viral DNA. Once incorporated, aciclovir triphosphate inhibits DNA synthesis by acting as a chain terminator. One may consider aciclovir to be a prodrug as it is metabolized to more active compounds. Aciclovir is selective and low in cytotoxicity as the cellular thymidine kinase of normal, uninfected cells does not use aciclovir effectively as a substrate. 	DNA polymerase catalytic subunit	inhibitor
